source_sentence	target_sentence
         <label>Someone could be trying to impersonate the site and you should not continue.</label>         <br><br>         <label>Websites prove their identity via certificates. %1$s does not trust <b>%2$s</b> because its certificate issuer is unknown, the certificate is self-signed, or the server is not sending the correct intermediate certificates.</label>     	<label>Neɗɗo ina waawi wonde e etaade wujjude hefinirde lowre ndee etee a fotaani jokkude.</label>         <br><br>         <label>Lowe geese ndallinirta keɓtinirɗe mum en ko e seedanteeji. %1$shoolaaki <b>%2$s</b> sabu dokkoowo-mo seedamfaagu nguu anndaaka, seedamfaagu nguu ko siifngu hoore mum, walla sarworde ndee neldaani seedanteeji hakkundeeji moƴƴi.</label>
         Firefox Nightly gets updated every night and has experimental new features.         However, it may be less stable. Download our beta browser for a more stable experience.	Firefox Nightly ina heɓa kesɗitine jamma fof etee ina jogii fannuuji ƴeewndorɗi kesi.         Kono noon, haɗum waawi ŋakkude deeƴde. Aawto wanngorde amen beta ngam kuutorgol ɓurngol deeƴde.
        Common myths about private browsing     	Tinndi goowaaɗi baɗte banngogol suturo
       <p>Additional information about this problem or error is currently unavailable.</p>     	<p>Humpito ɓeydorɗo baɗte ɗee caɗeele walla ndee juumre heɓotaako oo sahaa.</p>
       <p>The browser connected successfully, but the connection was interrupted while transferring information. Please try again.</p>       <ul>         <li>The site could be temporarily unavailable or too busy. Try again in a few moments.</li>         <li>If you are unable to load any pages, check your device’s data or Wi-Fi connection.</li>       </ul>     	<p>Wanngorde ndee seŋii haa moƴƴi, kono ceŋogol ngol taƴii saanga baylugol humpito. Tiiɗno, eto goɗngol.</p>       <ul>         <li>Lowre ndee ina waasde heɓaade e mudda walla ko nde haljunde no feewi. Eto kadi ɗo e yeeso seeɗa.</li>         <li>O a horiima loowde hay hello wooto, ƴeewto keɓe kaɓirgal maa walla ceŋogol WI-FI.</li>       </ul>
       <p>The browser has stopped trying to retrieve the requested item. The site is redirecting the request in a way that will never complete.</p>       <ul>         <li>Have you disabled or blocked cookies required by this site?</li>         <li>If accepting the site’s cookies does not resolve the problem, it is likely a server configuration issue and not your device.</li>       </ul>     	<p>Wanngorde ndee dartinii aaftaade temre ɗaɓɓitaande ndee. Lowre ndee ɓenninii ɗaɓɓitaande ndee e mbaydi ndi jogoraani timmude.</p>       <ul>         <li>Mbar a daaƴaani walla pali-ɗaa kukiije cokalaaɗe e ndee lowre?</li>         <li>So jaɓde kukiije lowre ndee ñawndaani caɗeele ɗee, Ena wona tawwa ko teeltol sarworde ndee kono wonaa kaɓirgal maa.</li>       </ul>
       <p>The browser is operating in its offline mode and cannot connect to the requested item.</p>       <ul>         <li>Is the device connected to an active network?</li>         <li>Press “Try Again” to switch to online mode and reload the page.</li>       </ul>     	<p>Wanngorde ndee woni ko e mbayka ceŋtol etee waawaa seŋaade e temre ɗaɓɓitaande ndee.</p>       <ul>         <li>Mbar kaɓirgal maa ena seŋii e laylaytol caasngol?</li>         <li>Ñoƴƴu “eto kadi” ngam artirde a mbayka ceŋol, kesɗitinaa hello ngoo.</li>       </ul>
       <p>The page you are trying to view cannot be shown because an error in the data transmission was detected.</p>       <ul>         <li>Please contact the website owners to inform them of this problem.</li>       </ul>     	<p>Hello ngo etot-ɗaa naatnde ngoo waawaa hollireede sabu juumre waɗii e baanjitagol keɓe ɗee.</p>       <ul>         <li>Tiiɗno jokkondir e jeyɓe lowre geese ndee ngam humpitde-ɓe caɗeele ɗee.</li>       </ul>
       <p>The provided address is not in a recognized format. Please check the location bar for mistakes and try again.</p>     	<p>Ñiiɓirde hokkaande ndee wonaani e mbaydi keftinaandi. Tiiɗno ƴeewto palal ñiiɓiɗe ndee ngam pergitte, puɗɗito-ɗaa.</p>
       <p>The requested site did not respond to a connection request and the browser has stopped waiting for a reply.</p>       <ul>         <li>Could the server be experiencing high demand or a temporary outage? Try again later.</li>         <li>Are you unable to browse other sites? Check the device’s network connection.</li>         <li>Is your device or network protected by a firewall or proxy? Incorrect settings can interfere with Web browsing.</li>         <li>Still having trouble? Consult your network administrator or Internet provider for assistance.</li>       </ul>     	<p>Lowre ɗaɓɓitaande ndee jaabaaki ɗaɓɓitaande ceŋol etee wanngorde ndee dartiima fadde jaabtol.</p>       <ul>         <li>Mbar sarworde ndee wonaa heewraande walla ena taƴi oo sahaa?  Fuɗɗito so ɓooyii.</li>         <li>A horiima naatde e lowe goɗɗe? Ƴeewto ceŋol laylaytol masiŋel ngel. </li>         <li>Mbar ordinateer maa suuraaki caggal ɓalal-jaynge walla proxy?  Teelɗe ɗe peewaani ena mbaawi haɗde peeragol e geese.</li>         <li>Haa jonni ena waɗi caɗeele? Jokkondir e jiiloowo laylaytol maa walla jeeyoowo ceŋol maa ngam ɗaɓɓude ballal.</li>       </ul>
       <p>The site at %1$s has been reported as a potentially harmful site and has been blocked based on your security preferences.</p>     	<p>Ndee lowre to %1$s jaŋtaama wonde ko lowre waawnde bonnude etee koko daaƴaa e cuɓoraaɗe kisal maa.</p>
       <p>The site at %1$s has been reported as an attack site and has been blocked based on your security preferences.</p>     	<p>Ndee lowre to %1$s jaŋtaama wonde ko lowre njangu etee ko ko daaƴaa e cuɓoraaɗe kisal maa.</p>
       <p>The site at %1$s has been reported as serving unwanted software and has been blocked based on your security preferences.</p>     	<p>Ndee lowre to %1$s jaŋtaama wonde sarwat topirɗe gañaaɗe etee koko daaƴaa e cuɓoraaɗe kisal maa.</p>
       <p>The site responded to the network request in an unexpected way and the browser cannot continue.</p>     	<p>Lowre ndee jaabtiima ɗaɓɓitaande laylaytol ndol e mabydi kaawniindi etee wanngorde ndee waawaa jokkude.</p>
       <p>This web page at %1$s has been reported as a deceptive site and has been blocked based on your security preferences.</p>     	<p>Ndee lowre to %1$s jaŋtaama wonde ko lowre fuuntoore etee koko daaƴaa e cuɓoraaɗe kisal maa.</p>
       <ul>         <li>It may have been removed, moved, or file permissions may be preventing access.</li>       </ul>     	<ul>         <li>Maa taw ko nde momtaande, dirtinaande, walla jamire fiilde ena kala ballagol.</li>       </ul>
       <ul>         <li>Please contact the website owners to inform them of this problem.</li>       </ul>     	<ul>         <li>Tiiɗno jokkondir e jeyɓe lowre ndee ngam humpitde-ɓe ɗee caɗeele.</li>       </ul>
       <ul>         <li>The page you are trying to view cannot be shown because the authenticity of the received data could not be verified.</li>         <li>Please contact the website owners to inform them of this problem.</li>       </ul>     	<ul>          <li>Hello ngo etoto-ɗaa naatnde ngoo waawaa hollireede sabu goongɗingol keɓe keɓaaɗe ɗee waawaa ƴeewteede.</li>          <li>Tiiɗno jokkondir e jeyɓe lowre geese ndee ngam humpitde-ɓe caɗeele ɗee.</li>        </ul>
       <ul>         <li>The site could be temporarily unavailable or too busy. Try again in a few moments.</li>         <li>If you are unable to load any pages, check your device’s data or Wi-Fi connection.</li>       </ul>     	<ul>         <li>dee lowre heɓotaako oo sahaa walla ena halji. Eto naatde e mayre ɗoo e yeeso seeɗa.</li>         <li>So a horiima loowde kelle fof, ƴeewto keɓe kaɓirgol maa walla seŋorde maa Wi-Fi.</li>       </ul>
       <ul>         <li>This could be a problem with the server’s configuration, or it could be someone trying to impersonate the server.</li>         <li>If you have connected to this server successfully in the past, the error may be temporary, and you can try again later.</li>       </ul>     	<ul>         <li>Ɗum ena waawi ummaade e teeltol sarworde ndee, walla ena waawi wonde won etotooɗo ñemmbitaade sarworde ndee.</li>         <li>So tawii a meeɗii seŋaade e ndee sarworde e ko ɓenni, maa taw juumre ndee juutataa, ngati aɗa waawi etaade so ɓooyii.</li>       </ul>
       <ul>         <li>Web addresses are usually written like <strong>http://www.example.com/</strong></li>         <li>Make sure that you’re using forward slashes (i.e. <strong>/</strong>).</li>       </ul>     	<ul> <li>Ñiiɓirɗe geese keewi winndireede ko <strong>http://www.yeru.com/</strong></li> <li>Ƴeewto no feewi so a huutoriima laase yeeso (k.n. <strong>/</strong>).</li>       </ul>
   Add-on Details 	  Ɓeydude e cariika
   Browser Hangs 	  Kooke Wanngorde
   Environment Data 	  Keɓe Taariindi
   Filter (strings or /regexp/) 	  Ciimtinirgal (strings or /regexp/)
   General Data 	  Keɓe Kuuɓal
   Histograms 	  Asdiiwe
   Keyed Histograms 	  Keyed Histograms
   Keyed Scalars 	  Ɓetiwe Koke
   Late Writes 	  Binndi Sakket
   NOTE: Slow SQL debugging is enabled. Full SQL strings may be displayed below but they will not be submitted to Telemetry. 	  NOTE: Buggitagol SQL Leelɗo koko hurminaa. Ɓoggi SQL timmuɗi ena mbaawi jaytineede les ɗoo kono ɗo naatnoytaake to Telemeetiri.
   Payload 	  Ndimdam
   Scalars 	  Ɓetiwe
   Session Information 	  Humpito Naatal
   Simple Measurements 	  Ɓete Beeɓtinaaɗe
   Slow SQL Statements 	  Gowlaali SQL Leelɗi
   Telemetry Log 	  Logagol Telemeetiri
   This page contains technical information that might be useful when you’re   trying to solve a problem. If you are looking for answers to common questions   about &brandShortName;, check out our <a id='supportLink'>support website</a>. 	  Ngoo hello ena waɗi humpito karallaagal baawngol nafde so aɗaetoo safrude caɗeele. So aɗa yiyloo jaabawuuji naamne ganndaaɗe  baɗte &brandShortName;, ƴeewto wallitorde amen <a id='supportLink'>lowre wallitorde</a>.
   Thread Hangs 	       Kooke gallol
 &lt;&lt; Newer ping 	&lt;&lt; Hoto ƴoɓoto
 <p>&brandShortName; can’t load this page for some reason.</p> 	<p>&brandShortName; horiima loowde ngoo hello.</p>
 <p>You must log in to this network before you can access the Internet.</p> 	<p>Aɗa foti seŋaade tawo e ngolɗoo laylaytol hade maa heɓde enternet.</p>
 <p>You should not add an exception if you are using an internet connection that you do not trust completely or if you are not used to seeing a warning for this server.</p>  <button id='getMeOutOfHereButton'>&securityOverride.getMeOutOfHereButton;</button> <button id='exceptionDialogButton'>&securityOverride.exceptionButtonLabel;</button> 	<p>A fotaani ɓeydude paltoor so tawii aɗa huutoroo ceŋol enternet ngol a hoolaaji no feewi walla so a woowaani yiyde hono deentine ummiiɗe e ndee sarworde.</p> <button id='getMeOutOfHereButton'>&securityOverride.getMeOutOfHereButton;</button> <button id='exceptionDialogButton'>&securityOverride.exceptionButtonLabel;</button>
 <p>You should not add an exception if you are using an internet connection that you do not trust completely or if you are not used to seeing a warning for this server.</p> <p>If you still wish to add an exception for this site, you can do so in your advanced encryption settings.</p> 	<p>A fotaani ɓeydude faltoore so aɗa huutoroo ceŋol enternet ngol a hoolaaki walla so a woowaani yiyde deentine e ndee sarworde.</p> <p>So aɗa yiɗi ɓeydude faltoore noon e ndee lowre, aɗa waawi waɗde ɗum e teelte maa gannugol ceeɓtore.</p>
 <ul>   <li>Check the address for typing errors such as     <strong>ww</strong>.example.com instead of     <strong>www</strong>.example.com</li>     <div id='searchbox'>       <input id='searchtext' type='search'></input>       <button id='searchbutton'>Search</button>     </div>   <li>If you are unable to load any pages, check your device’s data or Wi-Fi connection.     <button id='wifi'>Enable Wi-Fi</button>   </li> </ul> 	<ul> <li>Ƴeewto ñiiɓirde ndee so alaa pergitte tappo wano <strong>ww</strong>.yeru.com tawa foti wonde ko <strong>www</strong>.yeru.com</li> <div id='searchbox'> <input id='searchtext' type='search'></input> <button id='searchbutton'>Yiylo</button> </div> <li>So kelle fof koriima loowaade, ƴeewto seŋol keɓe e Wifi kaɓirgol maa. <button id='wifi'>Hurmin WiFi</button> </li> </ul>
 <ul>   <li>Check the address for typing errors such as     <strong>ww</strong>.example.com instead of     <strong>www</strong>.example.com</li>   <li>If you are unable to load any pages, check your computer’s network     connection.</li>   <li>If your computer or network is protected by a firewall or proxy, make sure     that &brandShortName; is permitted to access the Web.</li> </ul> 	<ul> <li>Ƴeewto so ñiiɓirde ndee alaa pergitte tappugol wano <strong>ww</strong>.yeru.com foti wonde ko <strong>www</strong>.yeru.com</li> <li>So a horiima loowde kelle fof, ƴeewto ceŋorde laylaytol ordinateer  maa</li> <li>So tawii laylaytol ordinateer maa ko suraande caggal ɓalal-jaynge walla proxy, waɗ feere nde &brandShortName; yamirtee jolde e Geese.</li> </ul>
 <ul>   <li>Check the file name for capitalization or other typing errors.</li>   <li>Check to see if the file was moved, renamed or deleted.</li> </ul> 	<ul> <li>Ƴeewto alkule puɗɗorɗe ɗee e innde fiilde ndee walla juume tappugol goɗɗe.</li> <li>Ƴeewto ngam so fiilde ndee dirtinaaka, innitaaka walla momtaaka.</li> </ul>
 <ul>   <li>Check the proxy settings to make sure that they are correct.</li>   <li>Check to make sure your computer has a working network connection.</li>   <li>If your computer or network is protected by a firewall or proxy, make sure     that &brandShortName; is permitted to access the Web.</li> </ul> 	<ul> <li>Ƴeewto teelte proxy ɗee ngam yuurnitaade so eɗe peewi.</li> <li>Ƴeewto so tawii ordinateer maa ena jogii seŋorde moƴƴere.</li> <li>So tawii ordinateer walla laylaytol maa koko suraa caggal ɓalal-jaynge, yuurno so &brandShortName; ena yamiraa naatde e geese.</li> </ul>
 <ul>   <li>Check the proxy settings to make sure that they are correct.</li>   <li>Check to make sure your device has a working data or Wi-Fi connection.     <button id='wifi'>Enable Wi-Fi</button>   </li> </ul> 	<ul> <li>Ƴeewto ngam yenaneede so teelte proxy ɗee ena moƴƴi.</li> <li>Ƴeewto ngam yenaneede so kaɓirgol maa ena jogii seŋorde keɓe walla Wi-Fi moƴƴere. <button id='wifi'>Hurmin Wifi</button> </li> </ul>
 <ul>   <li>Check the proxy settings to make sure that they are correct.</li>   <li>Contact your network administrator to make sure the proxy server is     working.</li> </ul> 	<ul> <li>Ƴeewto teelte proxy ɗee ngam yuurnitaade so eɗe peewi.</li> <li>Jokkondir e jiiloowo laylaytol maa ngam ƴeewde so sarworde proxy ndee ena moƴƴi.</li> </ul>
 <ul>   <li>Check to make sure your system has the Personal Security Manager     installed.</li>   <li>This might be due to a non-standard configuration on the server.</li> </ul> 	<ul> <li>Ƴeewto ngam yuurnitaade so yuɓɓo maa ena aafaa Personal Security Manager.</li> <li>Ɗum ena jolde so tawii teeltol sarworde ndee heftinaaka.</li> </ul>
 <ul>   <li>It may have been removed, moved, or file permissions may be preventing access.</li> </ul> 	<ul> <li>Maa taw ko nde momtaande, dirtinaande, walla jamire fiilde ena kala ballagol.</li> </ul>
 <ul>   <li>Please contact the website owners to inform them of this problem.</li> </ul> 	<ul> <li>Tiiɗno jokkondir e jeyɓe lowre geese ndee ngam humpitde-ɓe caɗeele ɗee.</li> </ul>
 <ul>   <li>Please contact the website owners to inform them of this problem.</li> </ul> 	<ul> <li>Tiiɗno jokkondir e jeyɓe lowre ndee ngam humpitde-ɓe ɗee caɗeele.</li> </ul>
 <ul>   <li>Press &quot;Try Again&quot; to switch to online mode and reload the page.</li> </ul> 	<ul> <li>Ñoƴƴu &quot;Fuɗɗito&quot; ngam faytude e mbayka ceŋol kesɗitinaa hello ngoo.</li> </ul>
 <ul>   <li>The page you are trying to view cannot be shown because the authenticity of the received data could not be verified.</li>   <li>Please contact the website owners to inform them of this problem.</li> </ul> 	<ul> <li>Hello ngo etot-ɗaa naatnde ngoo waawaa hollireede sabu goongɗingol keɓe keɓaaɗe ɗee waawaa ƴeewteede.</li> <li>Tiiɗno jokkondir e jeyɓe lowre geese ndee ngam humpitde-ɓe caɗeele ɗee.</li> </ul>
 <ul>   <li>The page you are trying to view cannot be shown because the authenticity of the received data could not be verified.</li>   <li>Please contact the website owners to inform them of this problem.</li> </ul> 	<ul> <li>Hello ngo etoto-ɗaa naatnde ngoo waawaa hollireede sabu goongɗingol keɓe keɓaaɗe ɗee waawaa ƴeewteede.</li> <li>Tiiɗno jokkondir e jeyɓe lowre geese ndee ngam humpitde-ɓe caɗeele ɗee.</li> </ul>
 <ul>   <li>The site could be temporarily unavailable or too busy. Try again in a few     moments.</li>   <li>If you are unable to load any pages, check your computer’s network     connection.</li>   <li>If your computer or network is protected by a firewall or proxy, make sure     that &brandShortName; is permitted to access the Web.</li> </ul> 	<ul> <li>Ndee lowre ena waawi tawo heɓotaako walla ko nde haljunde. Eto kadi ɗoo e ɓooyde.</li> <li>So a horiima loowde hay so hello, ƴeewto laylaytol ordinateer maa so ena seŋii.</li> <li>So tawii ordinateer walla laylaytol maa koko suraa caggal ɓalal-jaynge, yuurno so &brandShortName; ena yamiraa naatde e geese.</li> </ul>
 <ul>   <li>The site could be temporarily unavailable or too busy. Try again in a few moments.</li>   <li>If you are unable to load any pages, check your mobile device’s data or Wi-Fi connection.     <button id='wifi'>Enable Wi-Fi</button>   </li> </ul> 	<ul> <li>Ndee lowre heɓotaako oo sahaa walla ena halji. Eto naatde e mayre ɗoo e yeeso seeɗa.</li> <li>So a horiima loowde kelle fof, ƴeewto keɓe kaɓirgol maa walla seŋorde maa Wi-Fi. <button id='wifi'>Hurmin Wifi</button> </li> </ul>
 <ul>   <li>This could be a problem with the server’s configuration, or it could be someone trying to impersonate the server.</li>   <li>If you have connected to this server successfully in the past, the error may be temporary, and you can try again later.</li> </ul> 	<ul> <li>Ɗum ena waawi ummaade e teeltol sarworde ndee, walla ena waawi wonde won etotooɗo ñemmbitaade sarworde ndee.</li> <li>So tawii a meeɗii seŋaade e ndee sarworde e ko ɓenni, maa taw juumre ndee juutataa, ngati aɗa waawi etaade so ɓooyii.</li> </ul>
 <ul>   <li>This problem can sometimes be caused by disabling or refusing to accept     cookies.</li> </ul> 	<ul> <li>Ɗee caɗeele ena mbaawi arde so tawii ko a daaƴɗo walla caliiɗo kukiije.</li> </ul>
 <ul>   <li>Try again. &brandShortName; will attempt to open a connection and reload the page.     <button id='wifi'>Enable Wi-Fi</button>   </li> </ul> 	<ul> <li>Fuɗɗito. &brandShortName; maa eto seŋaade ngam loowde hello ngoo kadi. <button id='wifi'>Hurmin WiFi</button> </li> </ul>
 <ul>   <li>Web addresses are usually written like     <strong>http://www.example.com/</strong></li>     <div id='searchbox'>       <input id='searchtext' type='search'></input>       <button id='searchbutton'>Search</button>     </div>   <li>Make sure that you’re using forward slashes (i.e.     <strong>/</strong>).</li> </ul> 	<ul> <li>Ñiibirɗe geese ko nih keewi winndireede <strong>http://www.yeru.com/</strong></li> <div id='searchbox'> <input id='searchtext' type='search'></input> <button id='searchbutton'>Yiylo</button> </div> <li>Ƴeewto so a huutoriima guural (i.e <strong>/</strong>).</li> </ul>
 <ul>   <li>Web addresses are usually written like     <strong>http://www.example.com/</strong></li>   <li>Make sure that you’re using forward slashes (i.e.     <strong>/</strong>).</li> </ul> 	<ul> <li>Ñiiɓirɗe geese keewi winndireede ko <strong>http://www.yeru.com/</strong></li> <li>Ƴeewto no feewi so a huutoriima laase yeeso (k.n. <strong>/</strong>).</li> </ul>
 <ul>   <li>You might need to install other software to open this address.</li> </ul> 	<ul> <li>Ena wona ko maa aafaa won e topirɗe ngam waawde udditde ndee ñiiɓirde.</li> </ul>
 Archived ping data 	Ƴoɓol keɓe resanaama
 Choose ping: 	Suɓol ƴoɓol:
 Current ping data 	Joɓol keɓe gonangol
 It automatically sends information about performance, hardware, usage and customizations back to 	 Neldat humpito e jaajol baɗte moƴƴugol, masiŋeeri, kuutorgol e keertine to 
 Older ping &gt;&gt; 	Ƴoɓol kiiɗngol &gt;&gt;
 Ping 	Ƴoɓol
 Ping data source: 	Ƴoɓo sewnde keɓe:
 Raw JSON 	JSON Kecco
 Show subsession data 	Hollu keɓe lesnaatal
 Week 	Yontere
 for this product.	 ndee faggoore.
 for this version.	 ndee yamre.
 is a 	ko 
 on the Internet. Your employer or Internet service provider can still know what page you visit.	 e enternet. Gollinoowo-ma e Carwinoowo Enternet maa ena njiya haa jooni kelle ɗe njilloto-ɗaa.
 or 	 walla 
 or ask the developer to get them verified.	 walla naamno-ɗaa topaajo oo yoo ƴeewto-ɗe.
 said	 wiyino
 section.	 taƴre.
 to help make &brandShortName; better.	 ngam ɓeydude &brandShortName; moƴƴude.
 to sync with your mobile device.	 ngam syncude kaɓirgol cinndol maa.
 to the Mozilla Project.	 e Eɓɓannde Mozilla.
 to try again.	 ngam fuɗɗitaade.
 update channel. 	hesɗitingol ceen
 used for this version.	 kuutorangol e ndee yamre.
 with:	 e:
 working together to keep the Web open, public and accessible to all.	 gollodiiɓe wallitooɓe ngam Geese oo udditanoo, renndee kadi newanoo winndere ndee fof.
 working together to keep the Web open, public and accessible to all.	gollodaade ngam ñiiɓnude Geese peeñcu udditiiɗe, keɓaniiɗo yimɓe fof.
 your:	 ɗee geɗe:
"""%s"" is too large (%sKB), the limit is %sKB"	"""%s"" ena mawni haa ɓurti (%sKB), fotaani ɓurde %sKB"
"""Can't write: """	"""Horiima winndude: """
"""Choose a tab to stream"""	"""Suɓo tabbere ngam siiɓoraade"""
"""Copy to """	"""Natto to """
"""Could not find symbol: """	"""Horiima yiytude maannde: """
"""Could not load: """	"""Horiima loowde: """
"""Create folder: """	"""Sos runngere: """
"""Create shortcut: """	"""Sos sodorde: """
"""Created uninstaller: """	"""Sos momtirgol: """
"""Delete file: """	"""Momtu fiilde: """
"""Delete on reboot: """	"""Momtu tuma kurmitinal: """
"""Error creating shortcut: """	"""Juumre cosgol sodorde: """
"""Error creating: """	"""Juumre e cosgol: """
"""ExecShell: """	"""ExecShell: """
"""Execute: """	"""Humin: """
"""Extract: """	"""Aafto: """
"""Extract: error writing to file """	"""Aafto: juumre binndugol e fiilde """
"""No OLE for: """	"""Alaa OLE wonani: """
"""Output folder: """	"""Runngere jaltal: """
"""Registering: """	"""Nana winnditoo: """
"""Remove folder: """	"""Momtu runngere: """
